name*,displayName,description,owner,tags,glossaryTerms,tiers,certification,retentionPeriod,sourceUrl,domains,extension,entityType*,fullyQualifiedName,column.dataTypeDisplay,column.dataType,column.arrayDataType,column.dataLength,storedProcedure.code,storedProcedure.language
Dim_Date,,<p>Static dimension for dates. Provides calendar information for each day.</p>,,,,,,,,,,table,clickhouse_warehouse.default.dataeng.Dim_Date,,,,,,
bike_type,,"<p>Type of bike used for the trip: classic, electric</p>",,,,,,,,,,column,clickhouse_warehouse.default.dataeng.Fact_Bike_Trip.bike_type,string,STRING,,1
trip_duration,,<p>Length of the trip in minutes</p>,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.Fact_Bike_Trip.trip_duration,float64,DOUBLE,,1
trip_distance_km,,<p>Estimated distance traveled during the trip in kilometers.</p>,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.Fact_Bike_Trip.trip_distance_km,float64,DOUBLE,,1
stg_citibike_trips,,,,,,,,,,,,table,clickhouse_warehouse.default.dataeng.stg_citibike_trips,,,,,,
ride_id,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_citibike_trips.ride_id,string,STRING,,1
started_at,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_citibike_trips.started_at,datetime64<3>,DATETIME,,1
ended_at,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_citibike_trips.ended_at,datetime64<3>,DATETIME,,1
start_station_id,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_citibike_trips.start_station_id,string,STRING,,1
start_station_name,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_citibike_trips.start_station_name,string,STRING,,1
start_lat,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_citibike_trips.start_lat,"decimal<9, 6>",DECIMAL,,1
start_lng,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_citibike_trips.start_lng,"decimal<9, 6>",DECIMAL,,1
end_station_id,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_citibike_trips.end_station_id,string,STRING,,1
end_station_name,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_citibike_trips.end_station_name,string,STRING,,1
end_lat,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_citibike_trips.end_lat,"decimal<9, 6>",DECIMAL,,1
end_lng,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_citibike_trips.end_lng,"decimal<9, 6>",DECIMAL,,1
member_casual,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_citibike_trips.member_casual,string,STRING,,1
rideable_type,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_citibike_trips.rideable_type,string,STRING,,1
stg_weather,,,,,,,,,,,,table,clickhouse_warehouse.default.dataeng.stg_weather,,,,,,
apparent_temperature,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_weather.apparent_temperature,float32,FLOAT,,1
relative_humidity_2m,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_weather.relative_humidity_2m,float32,FLOAT,,1
precipitation_probability,,,,,,,,,,,,column,clickhouse_warehouse.default.dataeng.stg_weather.precipitation_probability,float32,FLOAT,,1
